,Area (m2),Property Type,Bedrooms,Bathrooms,Address,Law Document,Quarter,Year,Latitude,Longitude,Postal Code,Importance,Place Rank,City,Price (billion VND)
4692,95.3,2.0,12.0,12.0,3907.0,6.0,1.0,2023.0,10.795864186898928,106.70677864072674,72210.0,0.0534003669794765,26.0,0.0,16.0
2940,56.0,0.0,2.0,1.0,5096.0,4.0,3.0,2022.0,10.7233718,106.65260299856163,72900.0,6.703364614323671e-05,30.0,0.0,2.95
21077,32.0,3.0,4.0,2.0,7130.0,5.0,2.0,2019.0,21.02041,105.8308,10306.0,7.283054856179167e-05,30.0,1.0,4.6
22516,80.0,3.0,6.0,5.0,1349.0,3.0,3.0,2021.0,21.0410061,105.8121508,10062.0,7.283054856179167e-05,30.0,1.0,12.9
6786,55.25,2.0,6.0,5.0,7436.0,6.0,3.0,2022.0,10.850644994733605,106.63895598631524,71500.0,0.0534003669794765,26.0,0.0,4.1
27874,56.0,2.0,4.0,2.0,1428.0,3.0,1.0,2022.0,20.9878704,105.8183772,11718.0,7.283054856179167e-05,30.0,1.0,10.0
19925,45.0,3.0,4.0,3.0,7029.0,3.0,2.0,2019.0,20.98584,105.83164,11718.0,0.0534061638818951,26.0,1.0,3.7
29355,123.0,2.0,3.0,3.0,246.0,6.0,4.0,2021.0,21.0050208,105.8115285,10165.0,7.283054856179167e-05,30.0,1.0,19.7
12144,116.0,0.0,3.0,2.0,6194.0,6.0,4.0,2021.0,10.8019128,106.7647475,71210.0,0.0534003669794765,26.0,1.0,3.882
10736,83.0,0.0,3.0,2.0,1745.0,5.0,2.0,2024.0,21.0506076,105.7909724,10065.0,0.0534061638818951,26.0,1.0,5.2
19703,50.0,3.0,4.0,2.0,4396.0,3.0,2.0,2019.0,21.01918,105.79262,10079.0,7.283054856179167e-05,30.0,1.0,13.5
11069,47.0,0.0,1.0,1.0,6871.0,6.0,2.0,2023.0,20.9939937,105.9502063,10000.0,9.99999999995449e-06,30.0,1.0,1.4
30246,29.0,2.0,4.0,2.0,4509.0,5.0,2.0,2019.0,21.00593,105.83789,10181.0,0.0400728305485618,27.0,1.0,6.5
